index,MemberId,Name,Party,MemberFrom,vote1,vote2,vote3,ons_code,signature_count_241584
0,8,Theresa May,Conservative,Maidenhead,1.0,1.0,1.0,E14000803,13559
1,15,David Lidington,Conservative,Aylesbury,1.0,1.0,1.0,E14000538,10129
2,18,Cheryl Gillan,Conservative,Chesham and Amersham,1.0,1.0,1.0,E14000631,13543
3,39,John Whittingdale,Conservative,Maldon,1.0,0.0,0.0,E14000806,5593
4,44,David Amess,Conservative,Southend West,1.0,1.0,0.0,E14000957,7196
5,55,Desmond Swayne,Conservative,New Forest West,1.0,1.0,1.0,E14000828,7920
6,69,Oliver Heald,Conservative,North East Hertfordshire,1.0,1.0,1.0,E14000845,10974
7,76,Damian Green,Conservative,Ashford,1.0,1.0,1.0,E14000536,9102
8,87,Roger Gale,Conservative,North Thanet,1.0,1.0,1.0,E14000852,6094
9,88,Michael Fallon,Conservative,Sevenoaks,1.0,0.0,0.0,E14000918,10438
10,103,Paul Beresford,Conservative,Mole Valley,1.0,1.0,1.0,E14000824,13380
11,104,Crispin Blunt,Conservative,Reigate,1.0,0.0,0.0,E14000893,12438
12,105,Philip Hammond,Conservative,Runnymede and Weybridge,1.0,1.0,1.0,E14000907,11788
13,111,Nick Gibb,Conservative,Bognor Regis and Littlehampton,1.0,1.0,1.0,E14000576,6224
14,114,Tim Loughton,Conservative,East Worthing and Shoreham,1.0,1.0,0.0,E14000682,10871
15,116,Nicholas Soames,Conservative,Mid Sussex,1.0,1.0,1.0,E14000817,13870
16,117,Peter Bottomley,Conservative,Worthing West,1.0,1.0,1.0,E14001055,9256
17,126,Keith Simpson,Conservative,Broadland,1.0,1.0,1.0,E14000603,7830
18,152,Iain Duncan Smith,Conservative,Chingford and Woodford Green,1.0,0.0,0.0,E14000634,9590
19,197,Jim Fitzpatrick,Labour,Poplar and Limehouse,1.0,0.0,0.0,E14000882,21524
20,223,Liam Fox,Conservative,North Somerset,1.0,1.0,1.0,E14000850,13752
21,234,Gary Streeter,Conservative,South West Devon,1.0,1.0,1.0,E14000950,7407
22,245,Robert Syms,Conservative,Poole,1.0,1.0,0.0,E14000881,8350
23,247,Oliver Letwin,Conservative,West Dorset,1.0,1.0,1.0,E14001031,11763
24,249,Geoffrey Clifton-Brown,Conservative,The Cotswolds,1.0,1.0,1.0,E14000991,12321
25,261,James Gray,Conservative,North Wiltshire,1.0,0.0,0.0,E14000860,10020
26,280,Michael Fabricant,Conservative,Lichfield,1.0,0.0,0.0,E14000791,6792
27,312,Caroline Spelman,Conservative,Meriden,1.0,1.0,1.0,E14000812,7219
28,333,Patrick McLoughlin,Conservative,Derbyshire Dales,1.0,1.0,1.0,E14000664,9201
29,335,David Tredinnick,Conservative,Bosworth,1.0,1.0,1.0,E14000583,6449
30,343,Alan Duncan,Conservative,Rutland and Melton,1.0,1.0,1.0,E14000909,8829
31,345,Edward Leigh,Conservative,Gainsborough,1.0,1.0,1.0,E14000707,5402
32,350,John Hayes,Conservative,South Holland and The Deepings,1.0,1.0,0.0,E14000939,4053
33,366,Kenneth Clarke,Conservative,Rushcliffe,1.0,1.0,1.0,E14000908,13905
34,373,David Davis,Conservative,Haltemprice and Howden,1.0,1.0,0.0,E14000724,6118
35,389,Caroline Flint,Labour,Don Valley,1.0,1.0,0.0,E14000667,3422
36,392,Kevin Barron,Labour,Rother Valley,1.0,1.0,1.0,E14000903,3936
37,435,Graham Brady,Conservative,Altrincham and Sale West,1.0,1.0,0.0,E14000532,13353
38,474,Nigel Evans,Conservative,Ribble Valley,1.0,1.0,0.0,E14000894,6748
39,478,Frank Field,Independent,Birkenhead,1.0,1.0,1.0,E14000559,6032
40,1198,David Evennett,Conservative,Bexleyheath and Crayford,1.0,1.0,0.0,E14000558,5287
41,1200,Greg Knight,Conservative,East Yorkshire,1.0,1.0,0.0,E14000683,5347
42,1201,Alistair Burt,Conservative,North East Bedfordshire,1.0,1.0,1.0,E14000841,10422
43,1211,Andrew Mitchell,Conservative,Sutton Coldfield,1.0,1.0,0.0,E14000985,7886
44,1387,John Mann,Labour,Bassetlaw,1.0,1.0,1.0,E14000546,4123
45,1396,Ian Liddell-Grainger,Conservative,Bridgwater and West Somerset,1.0,0.0,0.0,E14000595,6847
46,1405,Mark Field,Conservative,Cities of London and Westminster,1.0,1.0,1.0,E14000639,25155
47,1408,Hugo Swire,Conservative,East Devon,1.0,1.0,0.0,E14000678,11313
48,1413,Chris Grayling,Conservative,Epsom and Ewell,1.0,1.0,1.0,E14000694,13346
49,1423,Boris Johnson,Conservative,Uxbridge and South Ruislip,1.0,0.0,0.0,E14001007,8237
