ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,mp_firstname,mp_surname,con_pct,lab_pct,leave_pct,UnempConstRate,ConstPercentChangeOneYr,Age_percent
W07000049,W92000004,Aberavon,West Glamorgan,Wales,Wales,Stephen,Kinnock,0.20627887841002596,0.5382619153110957,0.6012448399,0.036222268780408316,0.023232558139534953,0.19654145
W07000058,W92000004,Aberconwy,Clwyd,Wales,Wales,Robin,Millar,0.46091322767927195,0.397081437313667,0.5219711731,0.026173365273711294,0.04615384615384621,0.27463372
S14000001,S92000003,Aberdeen North,Scotland,Scotland,Scotland,Kirsty,Blackman,0.20140058268516292,0.13201293667976371,0.4309220874,0.03331119045642005,-,0.1371088
S14000002,S92000003,Aberdeen South,Scotland,Scotland,Scotland,Stephen,Flynn,0.3593058416232087,0.08400893991848898,0.321431052,0.01985035414138,-,0.16162824
S14000003,S92000003,Airdrie and Shotts,Scotland,Scotland,Scotland,Neil,Gray,0.17627979483053405,0.3200241375842301,0.3983812657,0.040079478734068454,-,0.17116735
E14000530,E12000008,Aldershot,Hampshire,South East,England,Leo,Docherty,0.5837436368188267,0.23537511474589,0.5789776574,0.015663404063468056,0,0.15464082
E14000531,E12000005,Aldridge-Brownhills,West Midlands,West Midlands,England,Wendy,Morton,0.7078948706217274,0.20370087946723603,0.6779634958,0.02603382433169667,0.01298701298701288,0.23329213999999998
E14000532,E12000002,Altrincham and Sale West,Greater Manchester,North West,England,Graham,Brady,0.48045213008783305,0.3683508938516882,0.3858779999,0.015982636148382006,0.05279983278157396,0.18847915
W07000043,W92000004,Alyn and Deeside,Clwyd,Wales,Wales,Mark,Tami,0.41987537202380953,0.42482793898809523,0.5805336875,0.024979231175893058,0.03128222756961163,0.19340286
E14000533,E12000004,Amber Valley,Derbyshire,East Midlands,England,Nigel,Mills,0.6385322711611473,0.26795707419843307,0.6529912472,0.025891013555974503,0.06633333333333336,0.21780314
S14000004,S92000003,Angus,Scotland,Scotland,Scotland,Dave,Doogan,0.403544127866574,0.04750984479962937,0.482443342,0.034660214682105346,-,0.23247326000000001
W07000057,W92000004,Arfon,Gwynedd,Wales,Wales,Hywel,Williams,0.15230102497076425,0.35609135309898876,0.3584544298,0.02673389080177078,0.032072368421052655,0.17865956
S14000005,S92000003,Argyll and Bute,Scotland,Scotland,Scotland,Brendan,O'Hara,0.35234131113423517,0.06759625390218522,0.3943239691,0.02613308370387706,-,0.25864681
E14000534,E12000008,Arundel and South Downs,West Sussex,South East,England,Andrew,Griffith,0.5791753517457009,0.15831813444502346,0.4970110581,0.012366078567240552,-0.012094284495763774,0.28028735
E14000535,E12000004,Ashfield,Nottinghamshire,East Midlands,England,Lee,Anderson,0.3926296447529604,0.2444058799510004,0.7047288884,0.029583365069693047,0.04528301886792452,0.20275084000000002
E14000536,E12000008,Ashford,Kent,South East,England,Damian,Green,0.6205564528213923,0.22046654123445278,0.5986194744,0.027537825946990016,-0.01754385964912286,0.19136853
E14000537,E12000002,Ashton-Under-Lyne,Greater Manchester,North West,England,Angela,Rayner,0.3701754840716452,0.4806760154488193,0.6180980255,0.0443617827374802,0.06425855513307988,0.17251335
E14000538,E12000008,Aylesbury,Buckinghamshire,South East,England,Rob,Butler,0.5404285525620708,0.25363180137348124,0.5178790984,0.01565252917294385,0.016129032258064502,0.15576021
S14000006,S92000003,"Ayr, Carrick and Cumnock",Scotland,Scotland,Scotland,Allan,Dorans,0.3851090315934066,0.13347785027472528,0.4411155085,0.04805740794433169,-,0.24227181
E14000539,E12000008,Banbury,Oxfordshire,South East,England,Victoria,Prentis,0.5427122900144625,0.2755042036839847,0.5034779774,0.014318331333926706,0.004878048780487809,0.17415504
S14000007,S92000003,Banff and Buchan,Scotland,Scotland,Scotland,David,Duguid,0.5012304779933744,0.04103170847136772,0.5359441108,0.02532511978097194,-,0.20632609
E14000540,E12000007,Barking,London,London,England,Margaret,Hodge,0.26499471898244903,0.6116766668913908,0.5997487956,0.04048109582938916,0.016393442622950838,0.0825781
E14000541,E12000003,Barnsley Central,South Yorkshire,Yorkshire and The Humber,England,Daniel,Jarvis,0.21385795192802753,0.40115979730645207,0.6818813044,0.034317042280400424,0.07733743747595234,0.18534193
E14000542,E12000003,Barnsley East,South Yorkshire,Yorkshire and The Humber,England,Stephanie,Peacock,0.27257683215130024,0.37638560546361965,0.7098499348,0.03436560381877792,0.02083333333333326,0.19306901
